["Cycle No.","Cycle time","Low pulse width","High pulse width"],
[313,6.47525709729334E-05,4.79801852680886E-06,5.99545524461245E-05],
[314,6.47540920322778E-05,4.79544246834163E-06,5.99586495639362E-05],
[315,6.47521900202334E-05,4.7965509184511E-06,5.99556391017823E-05],
[316,6.47547388742883E-05,4.79635906690604E-06,5.99583798073823E-05],
[317,6.47552004779083E-05,4.79642291276172E-06,5.99587775651465E-05],
[318,6.47519981686884E-05,4.79322060354184E-06,5.99587775651465E-05],
[319,6.47519981686884E-05,4.79361836130607E-06,5.99583798073823E-05],
[320,6.47519981686884E-05,4.79361836130607E-06,5.99583798073823E-05],
[321,6.47552004823873E-05,4.7972223990618E-06,5.99579780833255E-05],
[322,6.47533332676434E-05,4.79402008536287E-06,5.99593131822805E-05],
[323,6.47538572953084E-05,4.79268498640786E-06,5.99611723089005E-05],
[324,6.47528000947625E-05,4.79482586037208E-06,5.99579742343904E-05],
[325,6.47519981686884E-05,4.79601527258663E-06,5.99559828961017E-05],
[326,6.47546648365228E-05,4.79402393429793E-06,5.99606409022249E-05],
